1,Chai,Pink,Soda
2,Chang,Green,Beers
39,Chartreuse verte,Red,Beers
38,C?te de Blaye,Yellow,Vine
24,Guaran? Fant?stica,Violet,Fruit syrup
43,Ipoh Coffee,Black,Coffee
76,Lakkalik??ri,Gold-yellow,Alcohol
67,Boston Crab Meat,Brown,Beers
70,Outback Lager,Red,Beers
75,Rh?nbr?u Klosterbier,Green,Beers
34,Sasquatch Ale,Blue,Beers
35,Steeleye Stout,Black,Beers
3,Aniseed Syrup,White,Syrup
4,Chef Anton's Cajun Seasoning,Violet,Sauce
5,Chef Anton's Gumbo Mix,Black,Syrup
15,Genen Shouyu,White,Sauce
6,Grandma's Boysenberry Spread,Gold,Homemade
44,Gula Malacca,Gray,Syrup
65,Louisiana Fiery Hot Pepper Sauce,Green,Sauce
66,Louisiana Hot Spiced Okra,Blue,Homemade
8,Northwoods Cranberry Sauce,Red,Syrup
77,Original Frankfurter gr?ne So?e,Yellow,Sauce
61,Sirop d'?rable,Violet,Syrup
63,Vegie-spread,Black,Sauce
48,Chocolade,White,Homemade
26,Gumb?r Gummib?rchen,Gold,Sauce
49,Maxilaku,Gray,Homemade
25,NuNuCa Nu?-Nougat-Creme,Green,Homemade
16,Pavlova,Blue,Sauce
27,Schoggi Schokolade,Red,Syrup
68,Scottish Longbreads,Yellow,Sauce
20,Sir Rodney's Marmalade,Violet,Syrup
21,Sir Rodney's Scones,Black,Sauce
62,Tarte au sucre,White,Syrup
19,Teatime Chocolate Biscuits,Gold,Sauce
50,Valkoinen suklaa,Gray,Homemade
47,Zaanse koeken,Green,Homemade
60,Camembert Pierrot,red,Cheese
71,Flotemysost,Bule,Cheese
33,Geitost,Yellow,Cheese
31,Gorgonzola Telino,Violet,Cheese
69,Gudbrandsdalsost,Black,Cheese
32,Mascarpone Fabioli,White,Cheese
72,Mozzarella di Giovanni,Gold,Cheese
11,Queso Cabrales,Gray,Cheese
12,Queso Manchego La Pastora,Green,Cheese
59,Raclette Courdavault,Blue,Cheese
52,Filo Mix,Red,Flour
56,Gnocchi di nonna Alice,Yellow,Flour
22,Gustaf's Kn?ckebr?d,Violet,Flour
57,Ravioli Angelo,Black,Flour
42,Singaporean Hokkien Fried Mee,White,Flour
23,Tunnbr?d,Gold,Flour
64,Wimmers gute Semmelkn?del,Gray,Flour
17,Alice Mutton,Green,Lamb
9,Mishi Kobe Niku,Blue,Pork
55,P?t? chinois,Red,Beef
53,Perth Pasties,Yellow,Chicken
29,Th?ringer Rostbratwurst,Violet,Lamb
54,Tourti?re,Black,Pork
74,Longlife Tofu,White,Tofu
51,Manjimup Dried Apples,Gold,Freeze Dried
28,R?ssle Sauerkraut,Gray,Freeze Dried
14,Tofu,Green,Tofu
7,Uncle Bob's Organic Dried Pears,Blue,Freeze Dried
40,Boston Crab Meat,Red,Crab
18,Carnarvon Tigers,Yellow,Shrimp
58,Escargots de Bourgogne,Violet,Fish
37,Gravad lax,Black,shellfish
10,Ikura,White,Crab
36,Inlagd Sill,Gold,Shrimp
41,Jack's New England Clam Chowder,Gray,Fish
13,Konbu,Green,shellfish
30,Nord-Ost Matjeshering,Blue,Crab
73,R?d Kaviar,Red,Shrimp
45,Rogede sild,Yellow,Fish
46,Spegesild,Violet,shellfish
